,지점,지점명,일시,평균기온(°C),평균 풍속(m/s),상대습도
498,417,금천,2018,13.6,1.8,
499,417,금천,2019,14.3,1.7,
500,417,금천,2020,14.0,1.7,
501,417,금천,2021,14.4,1.8,63.18000000000001
502,418,한강,2012,13.1,1.8,60.5
503,418,한강,2013,13.1,2.4,63.6
504,418,한강,2014,14.1,2.4,60.71666666666667
505,418,한강,2015,14.4,2.4,60.10833333333333
506,418,한강,2016,14.4,2.3,60.975
507,418,한강,2017,13.7,2.3,60.55833333333333
508,418,한강,2018,13.6,2.3,60.93333333333334
509,418,한강,2019,14.3,2.1,60.94166666666666
510,418,한강,2020,14.0,2.2,63.44166666666666
511,418,한강,2021,14.3,2.2,63.333333333333336
512,419,중구,2012,11.1,2.0,
513,419,중구,2013,11.4,1.8,
514,419,중구,2014,12.2,2.0,
515,419,중구,2015,12.7,2.1,
516,419,중구,2016,12.9,2.0,
517,419,중구,2017,12.1,1.9,
518,419,중구,2018,11.9,2.1,
519,419,중구,2019,12.5,1.9,
520,419,중구,2020,12.3,1.9,
521,419,중구,2021,12.6,2.3,67.91999999999999
522,421,성동,2012,12.9,2.2,63.666666666666664
523,421,성동,2013,13.1,2.1,68.125
524,421,성동,2014,13.9,2.1,65.52499999999999
525,421,성동,2015,14.3,2.0,64.04166666666667
526,421,성동,2016,14.6,2.0,62.291666666666664
527,421,성동,2017,14.0,2.1,60.791666666666664
528,421,성동,2018,13.9,2.1,60.86666666666667
529,421,성동,2019,14.5,1.9,61.09166666666667
530,421,성동,2020,14.2,2.0,61.925000000000004
531,422,북악산,2012,9.9,2.4,69.98333333333333
532,422,북악산,2013,10.2,2.2,75.05
533,422,북악산,2014,11.1,2.2,72.375
534,422,북악산,2015,11.4,2.3,72.64166666666667
535,422,북악산,2016,11.7,2.2,73.03333333333335
536,422,북악산,2017,11.0,2.3,71.49166666666666
537,423,구로,2012,11.7,2.2,68.16666666666667
538,423,구로,2013,11.9,2.0,71.97500000000001
539,423,구로,2014,13.1,2.0,65.22500000000001
540,423,구로,2015,13.5,2.1,64.33333333333333
541,423,구로,2016,13.6,2.1,64.75833333333334
542,423,구로,2017,12.8,2.0,64.90833333333333
543,423,구로,2018,12.8,2.1,65.28333333333333
544,423,구로,2019,13.6,1.9,65.96666666666667
545,423,구로,2020,13.5,2.1,67.875
546,423,구로,2021,14.0,2.0,67.89999999999999
547,424,강북,2012,12.5,1.9,62.84166666666667
548,424,강북,2013,12.9,2.0,66.55
549,424,강북,2014,13.6,1.8,64.28333333333333
550,424,강북,2015,14.0,1.9,63.425000000000004
551,424,강북,2016,14.1,1.9,62.49166666666667
552,424,강북,2017,13.3,1.9,61.050000000000004
553,424,강북,2018,13.3,1.9,60.65833333333333
554,424,강북,2019,14.0,1.8,61.125
555,424,강북,2020,13.8,1.9,62.13333333333333
556,424,강북,2021,14.1,1.8,58.98333333333333
557,425,남현,2012,11.5,1.4,68.0
558,425,남현,2013,11.8,1.3,72.39166666666667
559,425,남현,2014,12.5,1.3,70.2
560,425,남현,2015,12.8,1.3,69.675
561,425,남현,2016,12.9,1.3,67.74166666666666
562,425,남현,2017,12.4,1.4,66.46666666666667
563,425,남현,2018,12.3,1.3,67.73333333333333
564,425,남현,2019,13.0,1.1,68.8
565,425,남현,2020,13.1,1.1,71.14999999999999
566,425,남현,2021,12.9,1.2,71.10000000000001
567,426,백령(레),2019,12.3,4.0,71.65833333333333
568,426,백령(레),2020,11.7,4.1,78.075
569,426,백령(레),2021,12.2,4.2,78.75
570,427,김포장기,2020,13.0,1.5,69.375
571,427,김포장기,2021,13.4,1.4,71.0
572,428,하남덕풍,2020,13.1,1.4,65.66666666666667
573,428,하남덕풍,2021,13.4,1.4,66.68333333333332
574,433,부천,2013,12.5,1.3,
575,433,부천,2014,13.3,1.3,
576,433,부천,2015,13.7,1.3,0.0
577,433,부천,2016,14.3,1.0,
578,433,부천,2018,12.9,1.1,
579,433,부천,2019,13.4,1.0,
580,433,부천,2020,12.9,1.0,
